,Tile Id,Date,Serving Cell Average RSRP (All),Serving Cell Average RSRQ (All),Total MR Count,Longitude,Latitude,geometry
1373,'5764608310152376029',12/6/2020,-124.11,-19.83,9,115.046769,-8.825706,POINT (115.046769 -8.825706)
1380,'5764608310152376205',12/6/2020,-124.31,-20.0,13,115.046769,-8.824349,POINT (115.046769 -8.824349)
1395,'5764608310152376980',12/6/2020,-121.94,-19.71,17,115.035096,-8.817903,POINT (115.035096 -8.817902999999999)
1418,'5764608310152378142',12/6/2020,-124.42,-17.47,55,115.03337900000001,-8.801618,POINT (115.033379 -8.801617999999999)
1420,'5764608310152378245',12/6/2020,-121.0,-20.0,2,115.035096,-8.802635,POINT (115.035096 -8.802635)
1441,'5764608310152378932',12/6/2020,-122.0,-20.0,3,115.04470900000001,-8.817903,POINT (115.044709 -8.817902999999999)
1442,'5764608310152378974',12/6/2020,-129.44,-18.36,18,115.04436499999998,-8.815189,POINT (115.044365 -8.815189)
1486,'5764608310152380673',12/6/2020,-126.0,-16.5,4,115.004883,-8.792457,POINT (115.004883 -8.792457000000001)
1491,'5764608310152380793',12/6/2020,-121.2,-14.04,54,115.00694299999999,-8.788385,POINT (115.006943 -8.788385)
1501,'5764608310152381420',12/6/2020,-121.0,-20.0,2,115.01518300000001,-8.789403,POINT (115.015183 -8.789403)
1509,'5764608310152382070',12/6/2020,-121.31,-20.0,13,115.012093,-8.782617,POINT (115.012093 -8.782617)
1514,'5764608310152382171',12/6/2020,-120.11,-18.56,9,115.01415300000001,-8.782957000000001,POINT (115.014153 -8.782957000000001)
1527,'5764608310152382528',12/6/2020,-124.83,-20.0,6,115.015869,-8.795511,POINT (115.015869 -8.795510999999999)
1529,'5764608310152382687',12/6/2020,-120.87,-18.31,8,115.019646,-8.793136,POINT (115.019646 -8.793136000000001)
1542,'5764608310152383045',12/6/2020,-124.2,-20.0,5,115.021363,-8.794493,POINT (115.021363 -8.794492999999999)
1553,'5764608310152383247',12/6/2020,-122.0,-18.25,6,115.022393,-8.791778,POINT (115.022393 -8.791778000000001)
1555,'5764608310152383271',12/6/2020,-125.0,-20.0,1,115.02307900000001,-8.791778,POINT (115.023079 -8.791778000000001)
